Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
web-services.myts3card.mmenergy.com.cn,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
rabatt.cn,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
greenvolt.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
www2viewsnet.mcimsb.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
avert.cn,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
obek.cn,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
sonakids.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
tjhhlf.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
benzin.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
unlockei.top,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
globalsolution.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
misplanchiras.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
marmaris.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
ransferredsacxto.toh.info,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1
creativecircle.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
mycajcbws.sbs,0,0,0,2,0,0,0,0,1,0,0,1,1,1,1,1
fjvbkhb-ksnludxs-workers-dev.translate.goog,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1
docomo-mobile.top,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
ycmww.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
my.ts3canbic.account-login.qdppmm.cn,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
ibyflioahsf.com,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
r3.boyuguanwang.com,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
emv1.rnxxjtmhli.com,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
bzjsuaore-kaiehvr.freetcp.com,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1
aeon.consultxi.com,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
schweigerdrm.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
ekii-goin.dragonstyle.cn,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
estafetawqw.top,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
jpoint-3mohjz-jp.lol,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1
adventurelife.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
lygglmy.com,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
hjarvis.com.cn,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
njideb.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
moneylioonzp.top,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
tradelogic.cn,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
3rdeyeclothing.com,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
sangilhotelasturias.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
iynjxmklax.com,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
client-netflix.icscardsnl.eu,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1
smtp.nuuv.cn,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
blankmn.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
blopeeupd.weebly.com,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
rosejam.cn,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
yournumerolog.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
sabriteam.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
kendyinbgfxmxjfatywf.xmcm10.cn,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
dhzqtzgkngzdqc.top,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
nitqxge.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
p6jytjytk.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
is.gd,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
freepalestine.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
plashjp-jknvaoraj.2waky.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1
writingsecrets.net,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
roxana.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
ytbgoogleseo.net,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
ekii-infor.6xs5h.cn,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
kielotktroaxnwlbtqlp.jlszhgjhlzhgs.cn,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
bonuonglumohanhngonb.icu,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
kuronekoyamato.mnbuuew.top,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
vogler.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
aifulkp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
minfnjksw-equtue.zyns.com,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1
propertylink.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
8pchiq1jt3qmh2q.lionelgraggio.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
wcvzj.cn,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
viewsnet.ostkae.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
amazon.r8jmf6.shop,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
index-ekii.login.8qu4xbetu5.top,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
twentyeight.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
thunderteacher.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
kwa5.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
qaty3y.17858fw.cc,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
is.gd,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
keyspace.com.cn,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
srci.cn,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
slices.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
wp.sungwoneng.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
caterinarago.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
point-lucky-user-sup-s-209jp.xzdoofpfagjrt.workers.dev,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1
mosplanchitas.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
ns2.zgyssjshy.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
ounrgi.top,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
igmmf.33137666.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
brainer.com.cn,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
windfield.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
calisthenics.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
chinamotorcapital.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
ic.jjyxqp.com,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
reurl.cc,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
grrv.cn,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
phantoscreens.com,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
atlcuteft-befsaid.youdontcare.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
fingerprinting.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
roboposeidon.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
aifiul.5g.in,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
ejk564.com,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
herebedragons.cn,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
index-ekii.login.7iap9xh9df.top,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
j5u6j78kytk.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
cdssqlk.com,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
denningbranch.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1
sdbbsm.cn,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
lannagpt.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
20237362com.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
slavia.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
fahs.cn,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
ekii-came.yinhuatj.com.cn,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
banhmichabongngona.icu,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
wggsw.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
zyeaehwpxdcmo.dxpzsto.cn,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
ykrtoyotycpozg.top,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
app.aifulki.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
globalsupport.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
gzhongyang.com.cn,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
fstug.cn,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
santosh.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
emv1.3313777com.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
jlkrdz.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
yqguzeaavaepqq.top,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
thehymn.net,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
